email,ip,mac,timestamp,method,url,hostname,user_agent
jfoster@securetech.com,10.10.1.234,b7:dc:43:d5:49:ae,Feb 06 18:54:43,PUT,app,db-94.lopez.clark-delacruz.net,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/27.0.890.0 Safari/532.2"
jrobinson@securetech.com,10.10.1.7,f9:cb:e3:f4:18:5c,Feb 06 21:15:15,GET,/login,srv-61.kim.johnson.biz,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/4.0)
jrobinson@securetech.com,10.10.1.7,f9:cb:e3:f4:18:5c,Feb 06 21:15:29,POST,/login,srv-61.kim.johnson.biz,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/4.0)
sritter@securetech.com,10.10.3.185,21:c2:c0:53:3f:ef,Feb 07 02:42:32,GET,/login,srv-61.kim.johnson.biz,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10 12_0 rv:5.0; sat-IN) AppleWebKit/531.6.6 (KHTML, like Gecko) Version/4.1 Safari/531.6.6"
sritter@securetech.com,10.10.3.185,21:c2:c0:53:3f:ef,Feb 07 02:42:41,POST,/login,srv-61.kim.johnson.biz,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10 12_0 rv:5.0; sat-IN) AppleWebKit/531.6.6 (KHTML, like Gecko) Version/4.1 Safari/531.6.6"
bbarron@securetech.com,10.10.2.64,30:6e:c4:97:62:cc,Feb 07 04:51:37,GET,/login,srv-61.kim.johnson.biz,Opera/9.88.(X11; Linux i686; cs-CZ) Presto/2.9.188 Version/10.00
bbarron@securetech.com,10.10.2.64,30:6e:c4:97:62:cc,Feb 07 04:51:48,POST,/login,srv-61.kim.johnson.biz,Opera/9.88.(X11; Linux i686; cs-CZ) Presto/2.9.188 Version/10.00
jfoster@securetech.com,10.10.1.234,b7:dc:43:d5:49:ae,Feb 07 05:37:18,GET,/login,srv-61.kim.johnson.biz,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/27.0.890.0 Safari/532.2"
jfoster@securetech.com,10.10.1.234,b7:dc:43:d5:49:ae,Feb 07 05:37:42,POST,/login,srv-61.kim.johnson.biz,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/27.0.890.0 Safari/532.2"
pmccoy@securetech.com,10.10.1.33,af:07:b4:cc:ab:5a,Feb 07 06:04:31,GET,/login,srv-61.kim.johnson.biz,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10 5_9) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/22.0.834.0 Safari/536.2"
